매출액,영업이익,당기순이익,영업이익률,순이익률,ROE(지배주주),부채비율,당좌비율,유보율,EPS(원),PER(배),BPS(원),PBR(배),주당배당금(원),시가배당률(%),배당성향(%),시가총액,상장주식수,ROE(%),주당배당금
5470.0,265.0,135.0,4.84,2.46,2.54,61.48,105.33,4586.2,445.0,11.81,18377.0,0.29,100.0,1.9,21.71,,,,
2363.0,107.0,88.0,4.51,3.72,5.83,54.77,75.34,1820.15,546.0,8.4,9613.0,0.48,50.0,1.09,9.15,,,,
177861.0,20331.0,6689.0,11.43,3.76,6.26,124.53,47.11,2422.9,5744.0,8.98,93884.0,0.55,1900.0,3.68,33.08,,,,
42165.0,5515.0,4137.0,13.08,9.81,20.3,97.58,157.74,916.87,8239.0,2.89,44456.0,0.53,438.0,1.84,5.31,,,,
20684.0,1180.0,2193.0,5.7,10.6,32.69,207.16,63.18,470.48,7569.0,1.59,26621.0,0.45,350.0,2.92,4.66,,,,
7657.0,484.0,431.0,6.33,5.62,9.18,11.52,315.69,1864.22,8606.0,6.46,99402.0,0.56,2500.0,4.5,28.54,,,,
2312.0,528.0,234.0,22.82,10.13,8.79,240.65,31.74,2224.01,1009.0,7.66,12508.0,0.62,270.0,3.49,25.92,,,,
4510.0,138.0,92.0,3.05,2.04,5.6,85.31,149.41,911.3,264.0,8.7,4975.0,0.46,90.0,3.91,33.08,,,,
79754.0,4764.0,1023.0,5.97,1.28,4.73,161.76,99.83,1793.97,4323.0,32.39,93161.0,1.5,300.0,0.21,6.94,,,,
11122.0,292.0,-942.0,2.63,-8.47,-9.4,88.23,46.64,391.34,-1217.0,-4.97,12283.0,0.49,75.0,1.24,-6.16,,,,
31868.0,688.0,116.0,2.16,0.36,1.26,180.09,74.72,1800.1,1156.0,47.3,91606.0,0.6,250.0,0.46,22.02,,,,
,,,,,,,,,,,,,,,,,,,
809.0,78.0,-76.0,9.68,-9.34,-0.88,468.69,8.56,1405.91,-71.0,-86.28,8825.0,0.7,350.0,5.7,-433.82,,,,
26051,-1806,-8074,-6.93,-30.99,-26.20,79.14,148.28,1956.46,-33308,-1.88,110515,0.57,-,-,-,,,,
2237.0,336.0,177.0,15.02,7.92,6.95,56.38,65.98,2143.26,603.0,58.01,8557.0,4.09,315.0,0.9,52.21,,,,
,,,,,,,,,,,,,,,,,,,
493069.0,11136.0,658.0,2.26,0.13,-0.2,117.06,96.85,3828.88,-381.0,-393.31,198025.0,0.76,3000.0,2.0,-740.62,,,,
14637,28,-332,0.19,-2.27,-54.53,895.02,55.16,577.96,-1500,-4.91,2585,2.85,-,-,-,,,,
1155.0,8.0,10.0,0.65,0.91,0.89,13.99,513.57,1440.04,68.0,38.92,7734.0,0.34,50.0,1.88,73.16,,,,
287,-5,-14,-1.59,-4.79,-5.70,29.56,216.18,74.78,-50,-29.75,791,1.88,-,-,-,,,,
2275.0,87.0,40.0,3.82,1.76,2.47,83.7,36.24,1712.11,209.0,54.24,10302.0,1.1,220.0,1.94,86.59,,,,
11214.0,421.0,355.0,3.75,3.17,6.93,69.4,114.9,1766.54,4667.0,7.81,71978.0,0.51,1161.0,3.18,23.82,,,,
7956.0,167.0,142.0,2.09,1.79,8.75,71.27,116.02,898.68,412.0,8.37,4997.0,0.69,160.0,4.64,37.53,,,,
6475.0,292.0,189.0,4.5,2.92,6.0,94.6,99.28,3050.7,924.0,8.82,15754.0,0.52,275.0,3.37,29.79,,,,
14936.0,667.0,-305.0,4.47,-2.04,0.37,84.11,92.32,3024.62,60.0,372.73,17903.0,1.24,325.0,1.46,498.97,,,,
,,,,,,,,,,,,,,,,,,,
8699,-97,-631,-1.11,-7.25,-14.15,166.55,36.90,489.92,-1390,-2.52,12385,0.28,-,-,-,,,,
86519,3641,2012,4.21,2.33,8.80,289.74,99.83,35.52,502,9.44,5984,0.79,-,-,-,,,,
9602.0,269.0,212.0,2.81,2.21,3.39,78.44,64.85,1484.11,258.0,13.13,7743.0,0.44,115.0,3.39,44.49,,,,
26826.0,1936.0,514.0,7.22,1.92,4.45,176.88,56.5,5781.6,2526.0,16.74,56549.0,0.75,400.0,0.95,16.41,,,,
3072.0,96.0,91.0,3.11,2.96,3.06,25.57,361.97,976.07,326.0,25.46,10856.0,0.77,120.0,1.44,36.34,,,,
2212,195,119,8.81,5.37,,197.27,146.78,2215.15,643,13.36,2276,3.78,,,-,,,,
