,매출액,영업이익,당기순이익,영업이익률,순이익률,ROE(지배주주),부채비율,당좌비율,유보율,EPS(원),PER(배),BPS(원),PBR(배),주당배당금(원),시가배당률(%),배당성향(%),ROE(%),주당배당금
004840,4966.0,210.0,63.0,4.24,1.26,0.66,67.47,112.92,4588.02,117.0,58.97,18307.0,0.38,50.0,0.73,41.38,,
155660,2310.0,121.0,90.0,5.23,3.89,5.67,55.22,75.23,1919.72,558.0,11.2,10087.0,0.62,50.0,0.8,8.96,,
078930,154442.0,9206.0,-1878.0,5.96,-1.22,-2.81,127.55,60.17,2326.39,-2563.0,-14.65,88236.0,0.43,1900.0,5.06,-74.16,,
294870,36702.0,5857.0,2202.0,15.96,6.0,8.85,122.97,172.83,733.14,3596.0,7.26,41626.0,0.63,600.0,2.3,17.96,,
001390,36864.0,2430.0,1547.0,6.59,4.2,11.94,186.77,65.06,528.02,3319.0,7.19,29528.0,0.81,400.0,1.68,11.99,,
025000,7467.0,641.0,644.0,8.59,8.63,12.7,19.37,218.6,2077.28,13074.0,4.2,110098.0,0.5,2750.0,5.01,20.67,,
044450,2262.0,507.0,131.0,22.43,5.8,4.78,297.81,25.75,2291.17,566.0,18.28,11968.0,0.86,300.0,2.9,51.33,,
058860,4536.0,90.0,74.0,1.98,1.63,4.4,75.81,132.0,916.07,212.0,12.13,5063.0,0.51,80.0,3.11,35.91,,
011070,95418.0,6810.0,2361.0,7.14,2.48,10.2,148.74,84.6,1990.24,9977.0,18.29,102588.0,1.78,700.0,0.38,7.02,,
037560,10579.0,342.0,-3128.0,3.23,-29.57,-39.53,133.36,73.77,225.96,-4039.0,-0.96,8149.0,0.48,75.0,1.93,-1.86,,
108670,30380.0,710.0,-795.0,2.34,-2.62,-8.8,184.92,82.52,1645.22,-7712.0,-10.11,83945.0,0.93,300.0,0.38,-3.95,,
383800,,,,,,,,,,,,,,,,,,
023150,946.0,158.0,38.0,16.68,4.02,11.49,459.12,20.1,1500.69,925.0,9.09,9430.0,0.89,350.0,4.16,33.37,,
010060,20025,-861,-2512,-4.30,-12.54,-9.89,85.99,141.28,1760.59,-10321,-9.01,98978,0.94,-,-,-,,
178920,2618.0,600.0,417.0,22.92,15.94,15.62,42.82,139.08,2358.48,1421.0,26.04,9633.0,3.84,711.0,1.92,50.04,,
402340,,,,,,,,,,,,,,,,,,
096770,345499,-24203,-21467,-7.00,-6.21,-13.58,149.04,78.67,3379.04,-23185,-8.19,173957,1.09,-,-,-,,
011810,9756,-6,-99,-0.06,-1.02,-20.26,504.40,45.71,555.94,-442,-11.64,1780,2.89,,,-,,
024070,1025.0,-17.0,-10.0,-1.68,-0.98,-0.85,11.94,559.1,1414.66,-65.0,-41.87,7616.0,0.36,50.0,1.83,-76.55,,
011420,195,14,10,7.04,5.04,4.63,37.82,221.64,81.92,36,40.04,752,1.90,-,-,-,,
002100,2483.0,143.0,133.0,5.75,5.35,6.69,75.77,36.11,1792.16,581.0,20.64,10789.0,1.11,250.0,2.08,35.41,,
007690,11327.0,460.0,308.0,4.06,2.72,5.54,68.51,109.36,1838.88,3919.0,10.68,75469.0,0.55,928.0,2.22,22.21,,
014530,6229.0,143.0,72.0,2.3,1.15,4.54,69.41,112.04,910.76,221.0,15.63,5092.0,0.68,140.0,4.05,61.14,,
090350,6429.0,323.0,180.0,5.02,2.8,5.48,99.68,88.2,3175.49,879.0,11.28,16315.0,0.61,275.0,2.77,31.31,,
005250,17193.0,707.0,1800.0,4.11,10.47,19.74,93.68,85.46,3444.76,3451.0,12.03,20248.0,2.05,500.0,1.2,13.28,,
353200,6109.0,88.0,-87.0,1.44,-1.43,,26.87,108.59,2388.5,-253.0,-49.71,12381.0,1.02,300.0,2.38,-176.94,,
128820,8324,100,482,1.21,5.79,10.57,126.68,57.62,514.43,1072,2.91,14351,0.22,-,-,-,,
047040,81367,5583,2826,6.86,3.47,11.06,247.62,90.29,50.88,683,7.30,6509,0.77,-,-,-,,
000430,8612.0,52.0,-27.0,0.6,-0.31,-1.36,77.92,66.88,1433.43,-104.0,-36.83,7487.0,0.51,100.0,2.61,-96.28,,
006040,28573.0,3065.0,2436.0,10.73,8.53,21.01,139.82,53.39,7050.2,13086.0,3.4,73338.0,0.61,1000.0,2.25,7.09,,
000020,2721.0,232.0,287.0,8.51,10.55,9.04,26.59,261.18,1064.44,1021.0,19.25,11999.0,1.64,180.0,0.92,17.43,,
